country,iso3,mean_log_population,mean_oil_export_share,mean_gdp_per_capita,mean_population,microstate_lt_1m,major_oil_exporter_ge_30pct,hub_exclusion,imf_2000_ofc,production_core_keep,strict_production_core_keep,exclusion_reasons
Sao Tome and Principe,STP,12.126724136809434,0.07182394078502702,4945.50398396796,184743.58891655202,True,False,False,False,False,False,mean_population_below_1m
Saudi Arabia,SAU,17.04664659517817,0.797607553852025,57483.50305556796,25308391.920932304,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Senegal,SEN,16.41809532864397,0.19328932336706572,3593.99834961249,13498583.724972116,False,False,False,False,True,True,
Serbia,SRB,15.769791944694505,0.037561001062469485,19941.083089075364,7058844.62123905,False,False,False,False,True,True,
Seychelles,SYC,11.432031932832528,0.13185008746313642,25130.63629097072,92229.18806624676,True,False,False,True,False,False,mean_population_below_1m
Singapore,SGP,15.432324234826984,0.13647881408213208,100451.06656916173,5037015.161892472,False,False,True,True,False,False,finance_tax_or_reexport_hub
Slovakia,SVK,15.503280308027628,0.047474187494262896,30291.351273727134,5407407.376906099,False,False,False,False,True,True,
Slovenia,SVN,14.53338295257222,0.039455057888811616,39182.61708808773,2050066.8340775776,False,False,False,False,True,True,
South Africa,ZAF,17.810279521355174,0.10670228196965216,13602.677350663458,54313290.81559701,False,False,False,False,True,True,
Spain,ESP,17.6339856427824,0.05695018624084535,43657.18283161811,45534718.767526016,False,False,False,False,True,True,
Sri Lanka,LKA,16.853793643379447,0.011504558261843448,10686.425180483728,20869381.512649637,False,False,False,False,True,True,
Suriname,SUR,13.234769153950708,0.22850309863299167,20666.50547845358,559483.409513661,True,False,False,False,False,False,mean_population_below_1m
Sweden,SWE,16.078236598908756,0.06478096248732695,56962.444159854276,9609248.699986983,False,False,False,False,True,True,
Switzerland,CHE,15.895051370764815,0.01664601201027911,74945.93468259386,8000794.208385965,False,False,True,True,False,False,finance_tax_or_reexport_hub
Thailand,THA,18.044522764771212,0.041959711671951484,17295.729101073564,68649387.273541,False,False,False,False,True,True,
Togo,TGO,15.774945007499198,0.0688733143948564,2322.0156865222284,7095313.172569605,False,False,False,False,True,True,
Tonga,TON,11.56844654082745,0.015208659907315148,6162.5194103061185,105709.12959428725,True,False,False,False,False,False,mean_population_below_1m
Trinidad and Tobago,TTO,14.106889168398782,0.5275036020206287,31876.20718633979,1338271.1714740435,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Tunisia,TUN,16.21444030295835,0.10443753825101305,11806.716716623556,11011385.081912821,False,False,False,False,True,True,
Türkiye,TUR,18.136620011923,0.03939693970527988,23503.639575767065,75272092.9048441,False,False,False,False,True,True,
USA,USA,19.559690667372003,0.08580571005670262,63228.47715581288,312367415.7059825,False,False,False,False,True,True,
Uganda,UGA,17.35827138371331,0.04836102288802494,2261.121816366211,34562207.8259827,False,False,False,False,True,True,
Ukraine,UKR,17.635630160484897,0.048885040692423755,15940.99,45609663.025306635,False,False,False,False,True,True,
United Arab Emirates,ARE,15.910744719821455,0.4952445006288876,75125.3382866729,8127343.861344192,False,True,True,False,False,False,mean_oil_export_share_at_least_30pct;finance_tax_or_reexport_hub
United Kingdom,GBR,17.967438777799114,0.10226242756197394,48589.690398996834,63556432.9963459,False,False,False,False,True,True,
United Rep. of Tanzania,TZA,17.686803587374424,0.01480351553263057,2822.2784423828152,48004417.09133238,False,False,False,False,True,True,
Uruguay,URY,15.020633555378804,0.019589435172619594,25040.13148680361,3337169.5160478153,False,False,False,False,True,True,
Viet Nam,VNM,18.298975860260192,0.11821283201820616,8265.153919331517,88540962.87702052,False,False,False,False,True,True,
Zambia,ZMB,16.507640008178374,0.014922242320915316,3149.50729380599,14763079.715427522,False,False,False,False,True,True,
Zimbabwe,ZWE,16.44367091295386,0.030364934864570498,4743.936436191944,13848270.552620795,False,False,False,False,True,True,
