variant,outcome,outcome_label,expected_shape,estimator,income_form,observations,countries,linear_coefficient,linear_p_value,quadratic_coefficient,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,income_p05,income_p95,turning_point_inside_p05_p95,slope_at_p05,slope_at_p05_standard_error,slope_at_p05_one_sided_p,slope_at_p95,slope_at_p95_standard_error,slope_at_p95_one_sided_p,intersection_union_endpoint_p,observations_above_turning_point,countries_above_turning_point,r_squared
no_microstates_or_major_oil,export_product_hhi,Export Product HHI,concentration_u,country_year_fe,log_ppp,2160,88,-0.05429979988861172,0.6700469602481595,0.0031828905753656543,0.6366315059266465,5064.196566242812,1747.6748569947295,62783.22972293275,True,-0.006772613444263137,0.028588232256876345,0.40636635428686296,0.01602580626984501,0.024553441395664486,0.256977804742214,0.40636635428686296,1687,73,0.856561854999836
no_microstates_or_major_oil,export_active_product_count,Export active-product count,count_inverted_u,pooled_year_fe,level_ppp,2160,88,953.6263350900455,1.681487218293525e-23,-64.610166328394,1.9678686646853439e-07,73798.47393079367,1747.6748569947295,62783.22972293275,False,931.0428224503692,91.35447133558534,0.0,142.33935208355445,72.32749411746701,0.9754650613681157,0.9754650613681157,50,4,0.7436668386850391
no_microstates_or_major_oil,export_active_product_count,Export active-product count,count_inverted_u,between_country,level_ppp,88,88,1046.2979672837564,9.576536631459193e-19,-77.61007292338564,3.947419168775159e-06,67407.35627942462,1951.2658861698824,62079.87338353759,False,1016.0103897400445,112.08225314737916,0.0,82.69326720957633,101.11423443768282,0.7932700797063611,0.7932700797063611,3,3,0.7814009005403898
no_microstates_or_major_oil,export_active_product_count,Export active-product count,count_inverted_u,country_year_fe,level_ppp,2160,88,393.6548042473231,0.004119984270903335,-20.253345494160367,0.0039844062211831675,97182.66159060619,1747.6748569947295,62783.22972293275,False,386.5755517092888,134.84665422227536,0.002073362593075001,139.34071568376405,56.8770269331098,0.992854398468684,0.992854398468684,19,2,0.96247276759452
no_microstates_or_major_oil,export_active_product_count,Export active-product count,count_inverted_u,pooled_year_fe,log_ppp,2160,88,1595.7465418451293,0.011619405916828893,-29.804306097656458,0.38012222615377456,422900394923.0862,1747.6748569947295,62783.22972293275,False,1150.7061676296182,131.63316102544368,0.0,937.2237799656742,127.77208281999344,0.9999999999998892,0.9999999999998892,0,0,0.8208626738515832
no_microstates_or_major_oil,export_active_product_count,Export active-product count,count_inverted_u,between_country,log_ppp,88,88,1608.1768295465902,0.02295923368017506,-30.275064081271942,0.42463305514201877,342462840746.8523,1951.2658861698824,62079.87338353759,False,1149.4349132700038,139.1659614144269,1.1102230246251565e-16,939.9348907915062,139.4579063726255,0.9999999999920762,0.9999999999920762,0,0,0.8483157569087076
no_microstates_or_major_oil,export_active_product_count,Export active-product count,count_inverted_u,country_year_fe,log_ppp,2160,88,2230.5876760245133,0.010453132462022067,-80.131907399751,0.09540604958588972,1108173.8251783121,1747.6748569947295,62783.22972293275,False,1034.0513789223978,238.71005863410466,7.393757131990419e-06,460.08227312563395,292.7754114899765,0.9419610599554887,0.9419610599554887,0,0,0.9659717079475743
production_core,export_product_gini,Export Product Gini,concentration_u,pooled_year_fe,level_ppp,2035,83,-0.01993395443780167,5.72269337111141e-05,0.001021667259402459,0.1952145751185801,97556.00100888236,1700.993600753156,57871.344889259286,False,-0.01958638454373315,0.004699374245677858,1.5372907749526308e-05,-0.008108902771612865,0.004676469270930622,0.958539157227176,0.958539157227176,0,0,0.5374992389895942
production_core,export_product_gini,Export Product Gini,concentration_u,between_country,level_ppp,83,83,-0.019981152157115024,0.0004707742641781834,0.0009708696313144153,0.2935229847725086,102903.37400946135,1936.417137576749,56945.946145365066,False,-0.019605150438629013,0.005370000332803689,0.000130678903098781,-0.008923734209314799,0.005248996414832747,0.9554424258431098,0.9554424258431098,0,0,0.5767536600284349
production_core,export_product_gini,Export Product Gini,concentration_u,country_year_fe,level_ppp,2035,83,-0.01248459298875599,0.028864969453596123,0.0015981902902152015,0.013733047042077359,39058.53096840833,1700.993600753156,57871.344889259286,True,-0.011940890697467612,0.005532829672167947,0.015456580257076203,0.006013291307985873,0.004292865481772233,0.0806423326479716,0.0806423326479716,440,26,0.9435589566216344
